mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
9.0909743309,0.00785250663757,0.892724926493,0.98600077761,0.05,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.05}",26,0.901801503998,0.986497819179,0.848024265861,0.98624937453,0.905526007296,0.985992053556,0.906912636355,0.984938985657,0.90148306062,0.986325655129,0.578466503102,0.00405376371479,0.0224770416616,0.00055531511996
20.7517803669,0.0144981861115,0.89414153221,0.994459347451,0.05,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.05}",19,0.904191532503,0.994575233091,0.848016368487,0.99481190884,0.904018292006,0.994360726819,0.913707414344,0.994158864383,0.900898450828,0.994390004122,1.2697610806,0.00435609765256,0.0234880529608,0.000220251499577
9.63906722069,0.00692338943481,0.893706766328,0.986096158371,0.05,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.05}",23,0.905503498479,0.986539865322,0.851306757598,0.986408732884,0.905902122141,0.986151815556,0.909107629006,0.985314530763,0.896819352957,0.986065847331,0.193403439228,0.00412053062789,0.0216147269363,0.000426506010254
18.3445328236,0.0136159896851,0.895577062295,0.994397971552,0.05,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.05}",10,0.907675144383,0.994503668647,0.846165234901,0.9948081887,0.909535487537,0.994369866225,0.912191159618,0.994241721033,0.902446953123,0.994066413156,0.624882427515,0.00369368247442,0.0249422807439,0.000250832648488
9.10147781372,0.00808482170105,0.894057414773,0.985831423246,0.05,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.05}",21,0.901727632686,0.986084903605,0.856083173642,0.98593626117,0.905853224666,0.986134425887,0.910033508806,0.985059965339,0.8966940307,0.985941560231,0.419370021717,0.00374230751279,0.0195179500733,0.000393530517277
16.8895803928,0.0138803958893,0.895863159347,0.994275567452,0.05,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.05}",7,0.903632722503,0.994467791179,0.855752976707,0.994495177798,0.909735815419,0.994129905042,0.90945806785,0.994154656236,0.900847733632,0.994130307003,0.657430481017,0.00514432866058,0.0203676499942,0.000168592006421
9.86337156296,0.00642313957214,0.89290300509,0.990876452186,0.07,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.07}",25,0.906623743817,0.991287728377,0.844420481019,0.991502979619,0.902962030382,0.991101207834,0.908911015112,0.989944669036,0.901717623346,0.990545676067,0.714405851875,0.00156679281294,0.0244073669239,0.00056388518522
21.1003965855,0.0179187774658,0.8962107162,0.997109545146,0.07,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.07}",4,0.909050016331,0.99711119631,0.844940384578,0.997401494935,0.906959713583,0.99716869391,0.916386365471,0.996915872974,0.903849621835,0.9969504676,0.532370031981,0.00488397592183,0.0259977562704,0.000174097993869
10.8699520111,0.00833058357239,0.894401610072,0.990675606688,0.07,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.07}",17,0.909116796876,0.991133971346,0.854381881731,0.991380576838,0.899558703372,0.990537130478,0.906656519812,0.989791051748,0.902381405608,0.990535303032,0.472413138559,0.0050104210245,0.0203076151762,0.000552879605556
18.1461075783,0.0151066303253,0.894743656249,0.997075022854,0.07,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.07}",15,0.908289456963,0.99717154614,0.84979309941,0.997428293625,0.90255416398,0.996938232053,0.906759022931,0.996853946232,0.906430830223,0.996983096218,0.978690264429,0.00378503186707,0.022583565533,0.000205014187035
