mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.242056322098,0.0524578094482,0.831824319687,0.88330860574,0.023000000000000003,0.95,"{'alpha': 0.023000000000000003, 'l1_ratio': 0.95}",20,0.883934298996,0.878294415339,0.843133898509,0.884656289412,0.836902913481,0.881436030063,0.871683336863,0.879116011567,0.723248462453,0.893040282318,0.0506252793907,0.0341230332804,0.0569807328534,0.00534318764856
0.272999572754,0.0319806098938,0.835692529118,0.892684488039,0.023000000000000003,0.96,"{'alpha': 0.023000000000000003, 'l1_ratio': 0.96}",16,0.886472429207,0.888098731901,0.846737224189,0.894255330973,0.84490253245,0.891483702587,0.8773169097,0.888677898285,0.722820361785,0.900906776447,0.0743791450609,0.0122401104065,0.0587258902563,0.00466041587654
0.308045005798,0.054811000824,0.838577657142,0.902693936319,0.023000000000000003,0.97,"{'alpha': 0.023000000000000003, 'l1_ratio': 0.97}",10,0.887411056431,0.898581486082,0.849702761323,0.904518480634,0.85225272559,0.902394652815,0.882765214285,0.898904215133,0.720549774622,0.909070846929,0.098851847432,0.0233732538062,0.0609288851168,0.0038822095545
0.374509191513,0.0318913936615,0.839605794747,0.913551107276,0.023000000000000003,0.98,"{'alpha': 0.023000000000000003, 'l1_ratio': 0.98}",2,0.885574306919,0.909937692369,0.851507198003,0.915680115693,0.857815016996,0.914524547871,0.887893570718,0.910012107338,0.715039329667,0.917601073108,0.0345623583095,0.0166423127194,0.0638975022053,0.00308103146758
0.360445928574,0.0639090061188,0.836232743076,0.925623790733,0.023000000000000003,0.99,"{'alpha': 0.023000000000000003, 'l1_ratio': 0.99}",13,0.878144285375,0.922465739035,0.850460840596,0.928159467754,0.857765166681,0.928522998756,0.892289752103,0.922389164418,0.702310085657,0.926581583703,0.0408303161367,0.0394516135881,0.0685196382946,0.0026902985119
0.334262752533,0.0257685661316,0.820575821181,0.862712079723,0.034000000000000002,0.95,"{'alpha': 0.034000000000000002, 'l1_ratio': 0.95}",28,0.874402693976,0.856866867994,0.833043096353,0.863592957433,0.817256383995,0.859772752571,0.85779522807,0.858183713655,0.720153103002,0.87514410696,0.101500625666,0.0217759556753,0.0538967229166,0.00661276780594
0.255598592758,0.0486674308777,0.827772165018,0.875176841159,0.034000000000000002,0.96,"{'alpha': 0.034000000000000002, 'l1_ratio': 0.96}",24,0.880725626724,0.869813632365,0.839471287125,0.876338495337,0.829408031034,0.872825474737,0.866431191576,0.870838641577,0.722601748686,0.886067961777,0.12235439497,0.027565057221,0.0556556020708,0.00588351692421
0.295210981369,0.0465066432953,0.834104195834,0.888534108465,0.034000000000000002,0.97,"{'alpha': 0.034000000000000002, 'l1_ratio': 0.97}",18,0.885523012355,0.883756099118,0.845237732663,0.890004649156,0.841469244677,0.88701793855,0.874885416807,0.884443299264,0.723189874895,0.897448556234,0.127759740636,0.0248634473318,0.0579199398618,0.004969763242
0.330157184601,0.0423379421234,0.838672353289,0.903140982199,0.034000000000000002,0.98,"{'alpha': 0.034000000000000002, 'l1_ratio': 0.98}",9,0.887403343198,0.899050069011,0.84980876321,0.904977511668,0.852545958679,0.902887364304,0.882996703079,0.899361123336,0.720400558967,0.909428842677,0.0704787533863,0.0238974946785,0.061036046966,0.00384700547566
0.459819364548,0.0556648254395,0.838731233843,0.919658579559,0.034000000000000002,0.99,"{'alpha': 0.034000000000000002, 'l1_ratio': 0.99}",8,0.882722582356,0.916297128207,0.851551224323,0.921981285637,0.859013318198,0.921527853048,0.890337285942,0.916268108531,0.709835857228,0.92221852237,0.099458078518,0.0308194130126,0.0659778376924,0.00276539700855
