mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
75.3065077305,0.0696776390076,0.89274037626,0.993553774275,0.07,1,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",12,0.906534467172,0.99356643799,0.837450561131,0.993974847913,0.906891406879,0.992941389042,0.906214410559,0.993468288472,0.906611035558,0.993817907956,1.4997417432,0.0303314019406,0.0276457485279,0.000354838970597
38.1853798389,0.027640914917,0.892705239528,0.98667631315,0.07,1,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 1}",13,0.905793628046,0.987416203158,0.834586911323,0.987162742451,0.906265063118,0.986260974996,0.910272678452,0.985786417649,0.9066079167,0.986755227496,1.41312673357,0.0140894530637,0.029102625813,0.000592401544052
65.390610981,0.0336236476898,0.894087842158,0.993461679326,0.07,1,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 1}",5,0.907092503443,0.993871970817,0.834371347223,0.993563496726,0.908331356169,0.992981779876,0.915153151967,0.993251950206,0.905490851988,0.993639199005,1.04896492771,0.0166493981134,0.0300394227124,0.00031129051167
39.8139213562,0.0199387550354,0.889351633216,0.988229305651,0.07,2,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",41,0.906657196686,0.988438146241,0.847696328471,0.988923093982,0.899217897139,0.988074531353,0.90852458119,0.987283417475,0.884662162592,0.988427339202,1.3762397819,0.00584841124515,0.0224569952261,0.000544579370365
76.922841835,0.052790594101,0.88934357191,0.995216309236,0.07,2,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 2}",42,0.908301777884,0.995125379486,0.848775792497,0.995741799035,0.894774291785,0.995074469333,0.910171590904,0.995036247039,0.884694406479,0.995103651289,2.67537762621,0.0258124353113,0.0223162368378,0.000264439223318
41.1376862526,0.0194751739502,0.88856829697,0.988229305651,0.07,2,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",47,0.906570434899,0.988438146241,0.850778864683,0.988923093982,0.899427789144,0.988074531353,0.901698418799,0.987283417475,0.884365977327,0.988427339202,1.45274650343,0.00926626072109,0.0202983069367,0.000544579370365
70.6626749516,0.0273562431335,0.889833707766,0.995216309236,0.07,2,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 2}",40,0.906167399668,0.995125379486,0.849679362576,0.995741799035,0.901511980934,0.995074469333,0.906395228594,0.995036247039,0.885414567057,0.995103651289,2.18986575619,0.00552196837448,0.0214911878206,0.000264439223318
35.5168821812,0.0145296096802,0.889168678993,0.988229305651,0.07,2,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",45,0.905655831702,0.988438146241,0.851791097283,0.988923093982,0.900683102409,0.988074531353,0.904512262225,0.987283417475,0.883201101347,0.988427339202,2.64846447265,0.00512678896701,0.0203594169608,0.000544579370365
70.9070353985,0.0281462192535,0.890205376726,0.995216309236,0.07,2,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.07, 'min_samples_leaf': 2}",38,0.907770402337,0.995125379486,0.848050573554,0.995741799035,0.90150702887,0.995074469333,0.909452541712,0.995036247039,0.884246337156,0.995103651289,1.30656319003,0.00960139748701,0.0228877627085,0.000264439223318
37.9704798222,0.023149394989,0.894125194226,0.988278470242,0.07,2,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.07, 'min_samples_leaf': 2}",4,0.909342804502,0.988612474613,0.861841575522,0.988804562332,0.899566923752,0.988002323933,0.912129426099,0.987525006082,0.887745241253,0.988447984248,1.46164171729,0.0102610731936,0.0182662326966,0.00046065862187
