,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
72,27386.386719,5427.3254761,10632.339258,211.364165062
73,27370.182422,5407.38155727,10559.0169924,198.776066201
74,27347.65625,5371.10973952,10494.4652344,189.452988538
75,27330.4457032,5364.99034695,10411.76875,188.707969339
76,27320.0574218,5363.14310561,10320.285547,189.611596174
77,27324.9851562,5343.65040154,10243.7369144,190.261618663
78,27305.1585936,5347.56550326,10177.9537108,197.10050526
79,27288.8226564,5352.3853768,10122.0160158,211.927911444
80,27254.0734374,5320.88434245,10055.2490234,210.561183957
81,27246.3863282,5327.80025675,9990.2472656,202.667642277
82,27274.8335938,5367.45180287,9909.4322268,213.382849684
83,27253.1566406,5360.84771003,9841.1749998,213.379573799
84,27228.8125002,5366.24818764,9793.5677736,218.855288915
85,27199.1687502,5373.91868079,9719.3162108,205.524359171
86,27215.3929686,5353.80159153,9643.0957032,199.393754704
87,27173.2023436,5339.70060945,9594.609375,205.517318776
88,27183.6789062,5332.14751276,9530.2132814,187.845090909
89,27166.2433592,5353.90539102,9454.7064452,175.446995703
90,27179.171875,5387.36432024,9401.4169922,189.184434485
91,27167.2023436,5396.42640839,9359.581836,184.888791726
92,27137.4738282,5403.09927941,9309.7107422,189.962251493
93,27122.8308594,5400.05005166,9250.5070312,189.842811119
94,27119.364453,5395.2760169,9193.1621096,193.532855151
95,27104.8734376,5377.33794816,9143.61875,181.610806056
96,27102.7863282,5368.05515128,9093.8771484,183.82206283
97,27090.2945314,5376.91316638,9036.5882812,183.942536247
98,27083.0484374,5376.92621923,8989.629297,184.649716732
99,27085.7085938,5373.75607826,8942.3183594,174.134887775
100,27086.6691406,5384.0504809,8878.570508,172.954547426
101,27072.8347658,5379.79012801,8840.3783204,173.056433922
102,27071.9691402,5382.32244802,8790.1222656,177.561567871
103,27075.664844,5385.83003172,8751.3777344,171.908695606
104,27065.325,5390.12441642,8704.6900392,160.072529188
105,27052.1195312,5397.85045971,8657.6388672,150.799799899
106,27030.3265624,5403.69903892,8618.1943358,151.1980507
107,27021.7945314,5400.72036841,8584.4984378,133.324810018
108,27025.3304686,5420.52267098,8548.1357422,136.026913141
109,27022.6625,5425.06147758,8496.095117,130.600304593
110,26996.0089844,5431.29304294,8448.6029298,134.994272613
111,26992.7492188,5429.16403211,8399.7568358,134.906634625
112,26995.0664064,5413.29391168,8350.2561522,151.253806689
113,27000.6707032,5410.5701468,8314.1319336,134.909314163
114,26992.3445314,5410.40832235,8271.9402344,141.1279705
115,26987.0871094,5407.82600977,8227.3785156,136.067123776
116,26987.0593752,5413.67540577,8198.9500976,147.988945989
117,26999.8871094,5403.82225575,8157.1970704,140.718121331
118,27002.4878906,5408.02892324,8127.6726562,147.181528018
119,26987.8210936,5411.82015394,8071.8105468,147.579572884
120,26975.8777346,5411.97460128,8027.6835938,140.97195914
121,26959.7515622,5418.79769317,7982.9648438,143.117534925
122,26954.9472656,5415.94822789,7931.9558594,147.229135144
123,26969.4773438,5409.64258498,7893.072754,144.167011238
124,26962.4124998,5415.49337683,7853.7,133.836334431
125,26968.4429686,5409.11639861,7817.3086912,142.491288364
126,26964.2386718,5413.85724537,7781.234082,140.54929917
127,26972.348828,5410.42550621,7730.0060548,126.926128574
128,26972.7179688,5408.98962818,7699.5746094,121.863217655
129,26964.476172,5410.45626353,7660.832422,110.037797453
130,26964.1363282,5412.3344852,7627.7410156,100.371051814
131,26961.394141,5405.43212039,7583.6957032,93.9386950946
132,26942.0847656,5391.36382535,7537.6622072,97.0003003479
133,26934.3585936,5409.32378084,7491.3519534,79.5062690647
134,26926.576172,5409.64384483,7451.2288084,80.6697542596
135,26931.0453126,5417.825467,7416.2703124,86.282307461
136,26928.0308594,5413.21863835,7389.27041,87.4088880099
137,26934.4734376,5432.74864824,7346.778125,97.5515484248
138,26928.0816406,5437.08502458,7319.3552734,102.839199105
139,26924.442578,5442.89026996,7294.523047,95.7069443824
140,26920.2773438,5445.25794884,7260.7060548,86.8105943072
141,26919.8121094,5440.13764346,7218.1170898,91.383763425
142,26913.6226562,5443.04801545,7189.407324,87.656851362
143,26918.5371094,5449.19211016,7163.3811526,85.9244335787
144,26926.376953,5448.14850643,7132.338379,91.0924329642
145,26929.4925782,5455.16558,7096.0713866,97.831116813
146,26924.7984376,5458.70616893,7064.9504884,97.1266841317
147,26919.4957032,5460.24518137,7018.3643554,102.534023036
148,26920.8328126,5456.52271419,6973.8707032,103.771854423
149,26918.026953,5457.68109742,6939.8458008,99.9652990002
150,26908.2398438,5466.65115774,6910.4395508,95.0189293741
151,26907.2289064,5458.00539427,6878.4291992,110.080018887
152,26908.096875,5469.01260299,6853.2566406,113.040295099
153,26918.7839844,5476.63417829,6820.32959,113.889117975
154,26904.1851562,5470.57497316,6787.019043,110.541257342
155,26900.5109372,5469.23399354,6755.9702148,111.135890545
156,26902.8421874,5468.60016599,6726.933789,124.567510255
157,26896.3984376,5462.94564835,6703.0428712,128.353991411
158,26890.2,5456.17898465,6660.6915038,112.141140859
