,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
169,48545.3445314,4355.34290747,44131.8601564,568.650880615
170,48252.3828126,4354.76480923,43793.4148438,563.134370974
171,47956.4265624,4356.86521247,43449.9960938,554.438976687
172,47669.6976562,4353.0645535,43118.1484374,549.203905937
173,47392.6999998,4347.26761724,42785.896875,543.979692352
174,47109.8070312,4342.18345018,42454.76875,539.107868119
175,46833.1882814,4346.21941959,42129.9390624,534.153002837
176,46553.1953124,4339.69764337,41805.7789062,531.151629183
177,46272.391406,4333.52367,41491.8234376,522.252652181
178,46001.7726562,4321.01985924,41176.2898436,523.14329691
179,45733.322656,4316.16838047,40861.0117188,522.873512544
180,45476.794531,4316.95052429,40551.3039064,512.831437552
181,45224.260156,4313.90617373,40245.0914062,508.654699727
182,44970.4593752,4301.13766633,39943.7203126,507.399540197
183,44735.4640624,4291.26901261,39647.3179688,506.37255455
184,44492.325,4279.61840261,39352.2210938,504.628114545
185,44246.175,4268.1257181,39063.1398436,505.39786289
186,44004.5718748,4265.72129473,38770.7421874,501.581640948
187,43774.1734374,4264.7656,38480.6335938,497.235324643
188,43527.6046876,4260.81163154,38198.6992186,495.083873161
189,43293.4890626,4248.54358056,37915.2796876,491.408722191
190,43062.7445314,4234.40626293,37636.0921876,488.255103976
191,42832.5546874,4226.88194211,37364.4218752,486.687255663
192,42611.3609374,4215.03495542,37092.0984376,486.895993009
193,42401.721875,4207.06842481,36825.0476562,480.682182341
194,42188.4945312,4192.7104149,36560.6398436,478.188201217
195,41973.9828126,4196.33619319,36298.5429688,477.446752586
196,41750.4843748,4180.13742132,36033.6664062,477.135386689
197,41537.6960936,4168.13675587,35770.759375,470.827057967
198,41332.4187498,4151.54555561,35511.1328126,466.160701075
199,41119.3562498,4147.86084647,35256.4593752,463.863766285
200,40919.5242188,4147.55991097,35009.2210938,452.409294071
201,40706.4000002,4137.98630299,34757.3390624,450.410887627
202,40521.8742186,4142.67811997,34507.9867188,447.528915484
203,40321.5031248,4140.08432098,34258.2007812,444.23948481
204,40135.7007814,4135.13527814,34019.0601564,437.905670783
205,39962.0960938,4135.13167633,33787.6476564,433.353354058
206,39780.109375,4126.82093354,33553.3601562,433.671082105
207,39591.9992188,4135.53288927,33318.8476562,430.429510683
208,39406.771875,4123.99914045,33088.0152346,424.432414753
209,39229.4460938,4124.67535734,32859.8714844,421.558544687
210,39054.9078124,4120.5107198,32628.5804686,420.242027653
211,38884.3429688,4110.83883283,32399.4726562,419.889350695
212,38708.1281252,4104.18573422,32174.026172,416.490126716
213,38543.9449218,4094.66569941,31951.9429686,414.536912778
214,38386.6160158,4100.40425254,31736.5816408,414.252936183
215,38220.430078,4092.04828692,31521.038672,410.994841985
216,38056.0371094,4092.64378216,31312.592969,406.145398048
217,37885.990625,4086.91762851,31103.650781,405.281422244
218,37726.5613282,4091.84234244,30895.6046874,402.844231728
219,37562.163672,4085.18704969,30687.3582032,398.419572275
220,37404.6390626,4084.45573092,30482.8101562,395.592888342
221,37247.108203,4085.66150041,30277.8945314,388.736306089
222,37094.836328,4080.59871337,30076.5945312,390.70163361
223,36955.8546876,4089.98889594,29877.177344,388.694242946
224,36805.4367188,4080.46929877,29683.4628906,389.974124102
225,36656.8953122,4083.8135714,29492.4761718,393.906920667
226,36501.7660154,4074.43792306,29295.5332032,392.046333952
227,36368.0964844,4082.96834004,29108.2535156,392.639310977
228,36230.9386718,4082.77813575,28919.085547,389.313245231
229,36095.1007812,4083.75562319,28736.3449218,388.447643417
230,35957.3949216,4078.11416581,28555.0613282,387.18477879
231,35821.6003906,4077.00528861,28372.1117188,386.949578815
232,35688.5441404,4074.40627536,28194.0,384.921555319
233,35562.8984374,4073.61528083,28012.8277346,382.388995252
234,35438.884375,4062.98281937,27841.7464844,384.532376704
235,35326.1546878,4065.02357105,27664.3613282,384.129267159
236,35186.769922,4059.28276853,27488.7066406,383.738985625
237,35068.3941406,4055.5600619,27321.129297,386.941153313
238,34950.6203126,4062.49949667,27153.5531252,383.805530896
239,34833.067578,4071.16311002,26983.4050782,376.941856713
240,34725.2902344,4075.65371718,26818.1265624,374.469788861
241,34607.9503906,4085.32564956,26651.3585938,375.210421259
242,34495.1558594,4098.29329773,26485.6113282,369.587211636
243,34384.5796874,4100.8664853,26328.155469,368.439091629
244,34272.2609372,4099.54492842,26170.616797,367.041817381
245,34155.8492188,4091.25215834,26009.4902344,366.724388574
246,34055.7675782,4086.19040326,25853.0234374,366.771981226
247,33960.3363282,4090.20541239,25702.2789062,366.344288522
248,33862.1714844,4086.67071544,25549.376953,365.344527719
249,33752.7691408,4081.43228251,25397.0097656,366.875228232
250,33650.4648438,4085.14817116,25241.0871094,364.959259847
251,33545.8859374,4082.79981554,25094.8250002,364.367596678
252,33453.1718752,4090.74491062,24953.339453,361.576770855
253,33367.4972656,4084.65122388,24812.0367188,359.91344166
254,33271.9640626,4084.43225095,24672.1468748,357.009937471
255,33188.2808592,4088.24799171,24532.3523438,355.804194104
256,33096.2253906,4086.35509747,24391.9960936,354.404783265
257,33000.1542968,4079.95709344,24258.853125,354.001737047
258,32917.169922,4083.56648499,24119.8027344,353.657102277
259,32837.7441406,4085.70267703,23984.7937498,350.007227521
260,32748.4710938,4081.41477187,23851.121875,347.538690656
261,32658.7914064,4079.89538669,23715.7886718,344.22098099
262,32568.7269532,4079.67475159,23584.3382812,344.579671411
263,32487.6062502,4081.82361066,23456.2609376,345.866905365
264,32409.0488278,4082.19524592,23326.1378904,340.569200982
265,32317.2691404,4078.45672332,23196.6109374,335.16424205
266,32236.1714842,4076.80475346,23071.0976562,334.713181205
267,32151.1734376,4086.94745224,22941.0988282,332.27602127
268,32077.1015622,4082.89513936,22819.1214844,329.615303811
269,31999.8460936,4092.26779393,22698.763672,327.451108139
270,31910.3621094,4082.35688528,22571.1648438,329.308278575
271,31840.3703126,4082.07823726,22452.5808596,333.180645006
272,31764.4738282,4082.61549093,22332.4902344,331.330605372
273,31689.2898436,4081.95980046,22215.9972656,330.174671074
274,31612.2726562,4083.89333801,22103.4429688,331.2500926
275,31533.9714846,4079.37339481,21990.8742186,329.07767463
276,31459.2687498,4079.39706294,21878.295703,328.774765403
277,31387.3511718,4066.09524473,21770.1167968,331.748223173
278,31321.490234,4061.50627885,21655.903125,330.650769574
