,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
53,119691.764063,6209.42445046,119227.292188,1288.34135675
54,118615.478125,6168.19098182,118134.264062,1278.15849028
55,117538.123438,6121.36571702,117051.325,1272.06953063
56,116492.695313,6082.8092081,115983.490625,1254.47243804
57,115467.5625,6057.30648132,114928.326562,1239.69416764
58,114433.00625,6025.50353898,113882.384375,1227.69962764
59,113414.310937,5999.53703513,112846.204688,1215.2323619
60,112407.392188,5977.81827768,111818.729688,1205.55739469
61,111412.032813,5947.14352736,110800.054688,1197.10040857
62,110441.009375,5929.00106973,109796.482812,1183.26244576
63,109461.945312,5899.06708569,108804.89375,1170.96987965
64,108497.920312,5880.92552984,107819.198437,1148.84111296
65,107529.628125,5845.75115145,106834.964062,1139.28364836
66,106583.840625,5811.19524496,105869.732813,1131.21964872
67,105658.757813,5797.08969608,104911.30625,1126.48205445
68,104733.417188,5766.68673799,103961.053125,1113.00181738
69,103813.784375,5741.40767694,103024.321875,1101.39537056
70,102908.120313,5724.66863487,102093.373438,1088.85257408
71,102008.657813,5708.21060474,101174.423437,1076.72051686
72,101120.909375,5692.90127596,100264.382813,1066.76896469
73,100250.50625,5682.27599696,99366.8765626,1055.62642867
74,99379.8796878,5650.32314425,98475.2281252,1046.38115329
75,98511.8937502,5630.74340466,97590.7046876,1033.8147941
76,97652.1609374,5600.29226452,96719.221875,1028.45104621
77,96800.1140626,5579.91543204,95851.4453124,1015.89264549
78,95967.9578124,5572.22624078,94992.9859378,998.785405644
79,95143.5468752,5541.82562401,94142.634375,989.304550876
80,94330.6671876,5516.69456894,93298.8812502,976.61625226
81,93521.0015626,5500.29071804,92463.6968746,975.957096737
82,92720.81875,5477.13716159,91640.2343754,968.045764679
83,91915.6468748,5458.87894888,90816.40625,958.657249554
84,91132.0874998,5438.62349868,90009.3843754,949.817443906
85,90368.5046874,5429.4110768,89211.6859372,934.844956007
86,89615.2140624,5413.96512412,88423.471875,930.460164916
87,88854.4484372,5400.40982395,87637.1171876,920.184346197
88,88107.1343752,5368.94333516,86859.7234376,914.364724095
